Date	Clock	Pressure	Temperature	dP	Std.OilFlowrate	WaterFlowrate	Std.GasFlowrate	Act.GasFlowrate	GOR(std)	Act.OilFlowrate	Act.Watercut	Std.Watercut	Act.GVF	Std.GVF	OilDensity	WaterDensity	GasDensity	Density	Permittivity	Conductivity	Act.OilMassRate	Act.WaterMassRate	Act.GasMassRate	Std.OilMassRate	Std.WaterMassRate	Std.GasMassRate	Std.AccumOilVol	AccumWaterVol	Std.AccumGasVol	Std.AccumGasVol	
2016-09-06	00:00:00	234.472088	135.553913	1484.872873	2047.185043	874.463591	1.054539	0.059405	515.108588	2320.387145	27.368921	28.309569	76.786699	98.497525	900.847000	1108.167033	15.162460	224.515165	1.805775	0.000000	13572.247200	5953.017020	1016.358639	12216.889171	6031.247965	1258.961820	1903.840248	655.109912	1.078846	1.078846	
2016-09-06	00:01:00	234.321495	135.554195	1484.315950	2212.607362	806.796495	1.037884	0.055060	468.900057	2458.033443	24.697488	26.367642	75.022433	98.385481	900.847000	1108.166231	15.156089	246.456849	1.807306	0.000000	14307.869816	5599.013077	950.575827	12879.273801	5672.596721	1198.160269	1905.254299	655.656338	1.079504	1.079504	
2016-09-06	00:02:00	234.316571	135.566909	1483.070590	2124.399883	846.284950	1.057603	0.056686	498.103308	2360.041757	26.403625	28.496867	75.889674	98.446911	900.847000	1108.164358	15.155759	231.868222	1.808567	0.000000	14083.909357	6212.598385	1013.649636	12677.680508	6294.256581	1262.619358	1906.744784	656.228628	1.080230	1.080230	
2016-09-06	00:03:00	234.493767	135.570136	1480.755174	2152.579503	771.297050	1.009250	0.053456	469.104242	2395.277664	24.342066	26.593305	75.019117	98.400829	900.847000	1108.162530	15.165406	228.313177	1.814241	0.000000	14204.079976	5701.531076	957.144452	12785.503018	5776.482584	1203.856113	1908.265147	656.743003	1.080949	1.080949	
2016-09-06	00:04:00	234.548532	135.573119	1481.972886	2121.965653	844.351033	1.052772	0.056369	496.110320	2367.033296	26.295641	28.502649	75.762764	98.441890	900.847000	1108.160144	15.171500	228.994861	1.814884	0.000000	14086.013960	6217.355418	1010.647200	12678.980412	6299.102337	1259.468719	1909.754344	657.327094	1.081681	1.081681	
2016-09-06	00:05:00	234.598982	135.560910	1483.897255	2150.210997	792.815423	1.016893	0.053862	472.837735	2384.512953	24.947425	27.215490	75.118716	98.400833	900.847000	1108.163951	15.172896	240.452011	1.814701	0.000000	14396.064384	6030.934859	983.610335	12958.054216	6110.207263	1234.581425	1911.133666	657.901121	1.082343	1.082343	
2016-09-06	00:06:00	234.705312	135.601994	1483.293312	2157.387189	804.009845	1.041410	0.055445	482.759070	2396.835618	25.121479	27.441390	75.522964	98.439617	900.847000	1108.153891	15.177709	239.211547	1.806233	0.000000	14298.767056	5972.247674	1002.270285	12870.275320	6050.799917	1253.263200	1912.664154	658.467092	1.083075	1.083075	
2016-09-06	00:07:00	234.545969	135.607693	1485.320118	2066.663466	794.187791	1.045180	0.054915	505.364905	2292.605833	25.719591	28.177898	76.005665	98.459990	900.847000	1108.149294	15.167383	236.966868	1.811044	0.000000	13701.638154	5961.093769	1004.327569	12333.129632	6039.527037	1247.788576	1914.131613	659.046084	1.083815	1.083815	
2016-09-06	00:08:00	234.484988	135.602127	1484.357613	2097.119883	797.662472	1.050139	0.056306	500.788792	2329.802355	25.499962	27.548971	76.206358	98.465345	900.847000	1108.152966	15.165030	235.856881	1.804566	0.000000	13903.451106	5855.599390	1007.453622	12514.882945	5932.626195	1253.708109	1915.621201	659.615471	1.084552	1.084552	
2016-09-06	00:09:00	234.379469	135.618989	1484.253190	2130.869737	839.631504	1.053584	0.056392	494.493708	2367.261088	26.183896	28.267443	75.800098	98.438410	900.847000	1108.149319	15.159287	237.712633	1.807738	0.000000	14126.991816	6163.671949	1008.630646	12716.290350	6244.771475	1257.821903	1917.128946	660.206546	1.085294	1.085294	
2016-09-06	00:10:00	234.288465	135.602088	1483.544265	2166.308130	799.402894	1.020928	0.054219	471.716546	2406.580750	24.952371	26.972256	75.069894	98.394778	900.847000	1108.153927	15.152085	240.895333	1.808738	0.000000	14361.637896	5868.381343	969.302124	12927.774371	5945.570611	1218.835284	1918.663007	660.775868	1.086018	1.086018	
2016-09-06	00:11:00	234.417166	135.581411	1480.705432	2185.401783	789.111219	1.015903	0.053787	464.730988	2427.850029	24.515969	26.514212	74.861534	98.381909	900.847000	1108.159250	15.160395	245.878397	1.813254	0.000000	14620.130081	5925.723158	974.611348	13160.175359	6003.638139	1227.828810	1920.185077	661.339814	1.086736	1.086736	
2016-09-06	00:12:00	234.348108	135.580482	1482.045261	2056.080970	846.509997	1.042843	0.056503	507.167885	2302.177848	26.888724	28.888249	76.168805	98.467300	900.847000	1108.157145	15.155056	223.975723	1.816438	0.000000	13630.983209	6131.579591	1002.582306	12269.976969	6212.212922	1244.998327	1921.646364	661.878110	1.087469	1.087469	
2016-09-06	00:13:00	234.529038	135.599046	1481.375047	2138.935014	814.976645	1.040611	0.055127	486.482698	2337.387398	25.837619	28.114406	75.684874	98.433608	900.847000	1108.155183	15.165732	234.472862	1.815996	0.000000	13976.340346	6049.956828	990.185510	12580.478425	6129.527831	1236.209959	1923.003182	662.456627	1.088135	1.088135	
2016-09-06	00:14:00	234.542603	135.614185	1481.088220	2122.085634	839.447896	1.047013	0.055983	493.291062	2357.564409	26.248937	28.360350	75.711706	98.448374	900.847000	1108.150081	15.168291	230.473113	1.814879	0.000000	14005.554748	6223.323156	1011.804630	12606.669150	6305.203003	1259.667885	1924.458204	663.044538	1.088865	1.088865	
