Date	Clock	Pressure	Temperature	dP	Std.OilFlowrate	WaterFlowrate	Std.GasFlowrate	Act.GasFlowrate	GOR(std)	Act.OilFlowrate	Act.Watercut	Std.Watercut	Act.GVF	Std.GVF	OilDensity	WaterDensity	GasDensity	Density	Permittivity	Conductivity	Act.OilMassRate	Act.WaterMassRate	Act.GasMassRate	Std.OilMassRate	Std.WaterMassRate	Std.GasMassRate	Std.AccumOilVol	AccumWaterVol	Std.AccumGasVol	Act.AccumOilVol	Act.AccumGasVol	
2016-09-09	00:14:00	251.069411	140.955183	678.458907	2748.403230	1168.467028	1.296422	0.065995	471.759719	3032.457906	27.809553	29.825316	73.653341	98.321136	900.847000	1106.641840	16.031351	253.648598	2.058914	0.040479	18096.655340	8565.957153	1248.223335	16401.515715	8690.490455	1547.732937	215.148456	97.752401	0.107038	240.778579	0.005386	
2016-09-09	00:15:00	251.113147	140.948603	677.510053	2685.186318	1220.378662	1.329829	0.068215	495.609852	2962.713998	29.182214	31.255049	74.371118	98.376466	900.847000	1106.643777	16.031774	257.985508	2.061650	0.040479	17680.447929	8946.536433	1290.305129	16024.259145	9076.583986	1587.616903	217.040879	98.592973	0.107954	242.866586	0.005432	
2016-09-09	00:16:00	251.094649	140.954419	678.566416	2674.473344	1222.925615	1.335259	0.068579	499.519993	2950.893660	29.302475	31.379676	74.513272	98.378320	900.847000	1106.641128	16.031501	254.682942	2.074225	0.040479	17609.908258	8965.186905	1297.177390	15960.327836	9095.526982	1594.099430	218.904503	99.446147	0.108890	244.922827	0.005481	
2016-09-09	00:17:00	251.242365	140.954751	678.707599	2677.399036	1229.840842	1.334951	0.068514	498.580502	2954.173423	29.395442	31.477423	74.462843	98.375302	900.847000	1106.640062	16.038839	257.948891	2.078685	0.040479	17629.480745	9015.874148	1296.596223	15977.787352	9146.959085	1593.731023	220.767130	100.293907	0.109819	246.977992	0.005528	
2016-09-09	00:18:00	251.080587	140.955492	678.830579	2672.714236	1170.208203	1.294584	0.066178	484.276379	2948.951838	28.400473	30.441990	74.103916	98.364709	900.847000	1106.641118	16.031412	258.039344	2.069515	0.040479	17598.320135	8578.719900	1251.764741	15949.830093	8703.440464	1545.539609	222.647747	101.128010	0.110735	249.052983	0.005575	
2016-09-09	00:19:00	251.083123	140.965765	679.201396	2658.379084	1217.712462	1.329636	0.068101	500.882026	2960.416015	29.152961	31.180054	74.370872	98.392427	900.847000	1106.638919	16.030305	252.144636	2.062930	0.040479	17503.906099	8829.998355	1292.075078	15864.282884	8958.390838	1587.385618	224.527059	101.894795	0.111661	250.958270	0.005618	
2016-09-09	00:20:00	251.100431	140.972755	679.760294	2654.769575	1185.708950	1.307737	0.067017	492.542259	2894.578021	29.053924	31.018963	74.513684	98.374370	900.847000	1106.636108	16.031132	253.753114	2.070781	0.040479	17480.174820	8751.055398	1267.818177	15842.742586	8878.322639	1561.241469	226.374862	102.749877	0.112590	252.984453	0.005666	
2016-09-09	00:21:00	251.262273	140.968520	678.675888	2680.906094	1186.797397	1.289096	0.066703	480.734952	2957.561923	28.631253	30.373916	74.132049	98.349153	900.847000	1106.640424	16.043274	263.077028	2.073121	0.040479	17697.357526	8599.856390	1247.167569	16039.171622	8724.891051	1541.848156	228.095168	103.586067	0.113433	255.063472	0.005714	
2016-09-09	00:22:00	251.264800	140.963977	680.158637	2661.788302	1227.030729	1.315603	0.068726	494.679641	2974.302851	29.200993	30.864711	74.426847	98.371014	900.847000	1106.639118	16.041434	255.639190	2.065399	0.040479	17569.902819	8619.875479	1262.614884	15923.716283	8745.211326	1556.788346	229.975454	104.445540	0.114370	257.138136	0.005762	
2016-09-09	00:23:00	251.044338	140.924330	678.434083	2702.060640	1139.569471	1.276058	0.064965	472.201838	2981.330948	27.657002	29.667393	73.739439	98.378112	900.847000	1106.647538	16.031076	264.757836	2.054136	0.040479	17685.062900	8321.611289	1217.167156	16028.510835	8442.541134	1509.686020	231.871028	105.254981	0.115276	259.229638	0.005808	
2016-09-09	00:24:00	251.109560	140.930695	678.646358	2669.126629	1201.015830	1.340106	0.068880	502.196296	2945.001794	28.949036	31.010758	74.697126	98.405455	900.847000	1106.647430	16.033243	254.288695	2.074269	0.040479	17574.747648	8804.617878	1302.997611	15928.420497	8932.572642	1599.885417	233.720465	106.100141	0.116211	261.270224	0.005856	
2016-09-09	00:25:00	251.338487	140.946044	678.689976	2716.902277	1195.475887	1.324658	0.067723	487.572993	2997.799784	28.506624	30.552688	74.194066	98.379755	900.847000	1106.644199	16.047746	250.303454	2.063387	0.040479	17889.827713	8763.976390	1282.134421	16213.528972	8891.369231	1581.443238	235.617336	106.917684	0.117129	263.363203	0.005903	
2016-09-09	00:26:00	251.235596	140.923069	678.414702	2695.688846	1248.254581	1.351048	0.069378	501.053611	2974.372419	29.550113	31.637715	74.514551	98.405479	900.847000	1106.649574	16.043286	259.082318	2.074615	0.040479	17750.021334	9150.942400	1313.259323	16086.934584	9283.911532	1612.948664	237.489665	107.768933	0.118061	265.429109	0.005951	
2016-09-09	00:27:00	251.338662	140.963338	679.161986	2661.538100	1129.089271	1.268148	0.064596	476.403385	2936.714876	27.764681	29.779917	73.887746	98.349430	900.847000	1106.640984	16.046087	249.222442	2.057662	0.040479	17525.294198	8277.277540	1222.957562	15883.134791	8397.617813	1513.978044	239.369621	108.596363	0.118972	267.503432	0.005997	
2016-09-09	00:28:00	251.246579	140.938319	678.222960	2698.853681	1205.458596	1.331219	0.068177	493.438726	2976.070689	28.837005	30.796652	74.382181	98.381802	900.847000	1106.646246	16.041243	255.479288	2.056397	0.040479	17770.799178	8800.900976	1290.828114	16105.821219	8928.811370	1589.276436	241.247774	109.342440	0.119892	269.395564	0.006040	
2016-09-09	00:29:00	251.096438	140.941995	678.520870	2681.984588	1234.638217	1.365952	0.069955	509.192072	2987.455669	29.240625	31.741072	74.677711	98.410577	900.847000	1106.645010	16.032451	255.620535	2.062394	0.040479	17659.387952	9143.830378	1330.986630	16005.152328	9276.735435	1630.741963	243.120144	110.177861	0.120817	271.463992	0.006087	
2016-09-09	00:30:00	251.238980	140.960667	679.322263	2672.100749	1214.619532	1.335186	0.067662	499.565847	2933.161677	29.259135	31.383749	74.373772	98.388243	900.847000	1106.638254	16.040507	254.738182	2.082552	0.040479	17594.633809	8966.199294	1297.248827	15946.169016	9096.577749	1594.011477	244.985106	111.054457	0.121755	273.529914	0.006136	
2016-09-09	00:31:00	251.269365	140.937582	678.517648	2679.638346	1233.997227	1.340812	0.069594	500.497412	2961.690168	29.407126	31.031275	74.691736	98.385712	900.847000	1106.645489	16.043346	249.087306	2.062989	0.040479	17564.246723	8796.592740	1284.860815	15918.548869	8924.447420	1580.443576	246.857070	111.958135	0.122681	275.764886	0.006187	
2016-09-09	00:32:00	251.144794	140.944765	679.572778	2668.169150	1172.784031	1.307370	0.066937	489.954943	2943.958521	28.477737	31.008306	74.327262	98.373339	900.847000	1106.643795	16.035616	253.999292	2.062768	0.040479	17820.296671	8706.893288	1282.336225	16150.874555	8833.457983	1580.803439	248.591432	112.727720	0.123534	277.678517	0.006231	
2016-09-09	00:33:00	251.156616	140.951885	679.424781	2705.286905	1205.940634	1.328478	0.068036	491.108123	2984.922697	28.776019	30.833164	74.298334	98.391619	900.847000	1106.641717	16.034892	262.878067	2.078329	0.040479	17802.681121	8962.813893	1308.005687	16134.888056	9093.112651	1607.964042	250.478332	113.577669	0.124468	279.760460	0.006279	
2016-09-09	00:34:00	251.119178	140.938997	680.344460	2691.111818	1217.297499	1.343640	0.069003	499.176698	2969.260498	29.072924	31.141750	74.587546	98.393631	900.847000	1106.643509	16.033016	252.911927	2.048488	0.040479	17746.045899	9000.449742	1317.185089	16083.665850	9131.283295	1617.066142	252.358244	114.425931	0.125407	281.834675	0.006327	
2016-09-09	00:35:00	251.085594	140.928285	677.939885	2686.202736	1163.206615	1.313472	0.067239	489.267903	2963.838371	28.192671	30.225510	74.365085	98.378594	900.847000	1106.648654	16.033052	245.543828	2.049494	0.040479	17687.157795	8527.449692	1271.913662	16030.324771	8651.366052	1568.088295	254.232017	115.252889	0.126331	283.902112	0.006374	
2016-09-09	00:36:00	250.903004	140.932506	677.247249	2617.697603	1215.577547	1.315236	0.069660	502.333362	2934.798986	29.255144	30.671350	74.910088	98.377700	900.847000	1106.648045	16.021212	247.501653	2.066965	0.040479	17235.664215	8500.998102	1278.984390	15621.509937	8624.535526	1570.194239	256.108656	116.080293	0.127257	285.972665	0.006422	
2016-09-09	00:37:00	251.066893	140.953082	677.190213	2664.419151	1222.495808	1.322500	0.067873	496.580841	2939.786967	29.355579	31.433275	74.361099	98.374931	900.847000	1106.641751	16.029455	247.798673	2.090634	0.040479	17543.627374	8962.042313	1283.640261	15900.327907	9092.330285	1578.866278	257.963118	116.929998	0.128179	288.018783	0.006469	
2016-09-09	00:38:00	250.957520	140.946747	678.354550	2688.193756	1214.313990	1.306606	0.067019	486.180874	2947.517464	29.175123	31.063030	74.136199	98.350854	900.847000	1106.641992	16.024120	259.220216	2.077521	0.040479	17699.965111	8879.750069	1264.097182	16042.206490	9008.840618	1559.891174	259.843682	117.723982	0.129109	289.913209	0.006513	
2016-09-09	00:39:00	251.221147	140.967493	679.141507	2706.117782	1203.641916	1.292346	0.066815	477.472152	3015.671189	28.520562	30.376994	73.816448	98.339281	900.847000	1106.637570	16.039134	255.966212	2.082487	0.040479	17818.575469	8657.302515	1246.768275	16149.170852	8783.194366	1542.867214	261.743200	118.558571	0.130015	292.014488	0.006559	
2016-09-09	00:40:00	251.064579	140.953497	679.433323	2756.776800	1120.246924	1.266363	0.063874	459.362027	2986.393268	27.261181	29.606697	73.465490	98.293076	900.847000	1106.641244	16.031589	255.524551	2.066382	0.040479	18151.833289	8499.049916	1213.945143	16451.486272	8622.612182	1511.847269	263.648151	119.372740	0.130906	294.114209	0.006605	
2016-09-09	00:41:00	251.313848	140.957722	678.915673	2690.846990	1209.766035	1.334008	0.067445	496.229970	2969.085980	28.955850	30.865667	74.138829	98.365983	900.847000	1106.641615	16.045645	256.017720	2.069113	0.040479	17545.384966	8723.748040	1263.136604	15901.360931	8850.573915	1557.059476	265.379979	120.207115	0.131742	296.202266	0.006651	
